title,reviewsCount,averageReview,openStatus,openHour,phone,email,aboutDescription,thingsTodo,website,Address,link
LEGOLAND Windsor Resort,"21,255",3.5,Open now,10:00 AM - 6:00 PM,%2B44%20871%20222%202001,,Had an amazing day the new mythica area was amazing. Using codes made the models come to life and the flight ride was the best 😌,#20 of 44 things to do in Windsor,http://www.legoland.co.uk/,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g186419-d207144-Reviews-LEGOLAND_Windsor_Resort-Windsor_Windsor_and_Maidenhead_Berkshire_England.html
Windsor Castle,"13,299",4.5,Open now,10:00 AM - 5:15 PM,%2B44%20%280%29%20303%20123%207324,"('specialistsales@royalcollection.org.uk',)","Very good to feel part of the UK history , very enjoyable day out. Changing of the guards is back but you need to check what days before booking tickets , must be in place by 10.30 to see. A new section has been added to cover the life and times of the Duke of Edinburgh it was very interesting and very informative about his life and service. St George's Chapel was the most moving part of the visit. Plenty of staff on hand to help , with great views from around the Castle.",#1 of 44 things to do in Windsor,https://www.royalcollection.org.uk/visit/windsorcastle,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g186419-d216438-Reviews-Windsor_Castle-Windsor_Windsor_and_Maidenhead_Berkshire_England.html
Windsor Lake,45,4.0,,,,,"I visited this lake on my way on what I thought would be literally be a good trip. And I enjoyed a lot of the natural lake moments, and it was a great experience.",#5 of 16 things to do in North Adams,http://northadams-ma.gov/index.php?nav_id=75,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g41715-d218995-Reviews-Windsor_Lake-North_Adams_Massachusetts.html
Royal Windsor Taxis,26,4.0,Open now,12:00 AM - 11:59 PM,%2B44%201753%20585585,"('Bookings@royalwindsortaxis.co.uk',)","Very happy with my recent taxi pick up from Heathrow. The driver was prompt and I did not have to wait, despite my flight arriving early. Thank you very much Royal Windsor Taxis!",#3 of 6 Transportation in Windsor,http://www.royalwindsortaxis.co.uk/,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g186419-d13520155-Reviews-Royal_Windsor_Taxis-Windsor_Windsor_and_Maidenhead_Berkshire_England.html
Shakespeare & Company,246,4.5,,,%2B1%20413-637-1199,,"Just attended the first performance in the New Spruce Theater (also my first time in the Berkshires). The outdoor theater is amazing. It was an unusually cold July evening, and the first preview of King Lear went over the expected three hours, but being able to enjoy live theater again was great!",#5 of 25 things to do in Lenox,http://www.shakespeare.org/,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g41639-d278396-Reviews-Shakespeare_Company-Lenox_Massachusetts.html
A Hoppy Place,26,5.0,Closed now,12:00 PM - 8:00 PM,%2B44%201753%20206802,"('beer@ahoppyplace.co.uk',)",My favourite little haunt in Windsor. A must for beer lovers who hate bog standard pubs. 100s of beers and knowledgeable staff. They now have a TV and will show the euros,#3 of 26 Shopping in Windsor,http://ahoppyplace.co.uk/,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g186419-d18187604-Reviews-A_Hoppy_Place-Windsor_Windsor_and_Maidenhead_Berkshire_England.html
Windsor Farm Shop,321,3.5,Open now,10:00 AM - 4:00 PM,%2B44%201753%20623800,,Shop that sells products from the Royal Farms and select local suppliers.,#6 of 26 Shopping in Windsor,http://www.windsorfarmshop.co.uk/,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g186419-d287206-Reviews-Windsor_Farm_Shop-Windsor_Windsor_and_Maidenhead_Berkshire_England.html
No5 St Leonards Road,109,4.5,Closed now,,%2B44%201753%20424545,,"Boutique Champagne & Cocktail Bar also offering a wide range of spirits, beers and wines. Open from 5pm until 1am Wednesday to Saturdays. Pre-booking advisable.",#1 of 11 Nightlife in Windsor,http://no5stleonardsroad.co.uk/,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g186419-d7815021-Reviews-No5_St_Leonards_Road-Windsor_Windsor_and_Maidenhead_Berkshire_England.html
Irish Guardsman Statue,49,4.5,,,,,"I'm not really sure why of all the Guards regiments, the Irish guards get their own, but this is a finely crafted lifelike statue.",#19 of 44 things to do in Windsor,,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g186419-d10209149-Reviews-Irish_Guardsman_Statue-Windsor_Windsor_and_Maidenhead_Berkshire_England.html
Windsor Leisure Centre,117,2.5,,,%2B44%201753%20778555,"('windsor@legacyleisure.org.uk',)","Awful Customer Service, the 20-year-old manager (Jack)couldn't even be bothered to help. The membership women Tara, needs to attend a CS course and learn how to be polite.And they all need to learn how to pick up the phone and reply to messages
Don't waste your time and money, lockers are broken and the sauna rooms never work either.",#42 of 44 things to do in Windsor,http://www.leisurecentre.com/windsor-leisure-centre,"Windsor, berkshireUnited Kingdom, Europe",https://www.tripadvisor.com/Attraction_Review-g186419-d8595434-Reviews-Windsor_Leisure_Centre-Windsor_Windsor_and_Maidenhead_Berkshire_England.html
